agg_rating,bar_name1,bar_name2,bar_name3,bar_name4,bar_name5,bar_pct1,bar_pct2,bar_pct3,bar_pct4,bar_pct5,ceo_approval_pct,ceo_approval_ratings,comp_ben_rating,company_count_QnA,company_count_jobs,company_count_photos,company_count_reviews,company_count_salaries,company_empl,company_facebook,company_hq,company_indeed_url,company_industry,company_name,company_overall_rating,company_rev,company_twitter,company_website,con_text,culture_rating,helpful_downvote_count,helpful_upvote_count,jobsec_advancement_rating,main_text,management_rating,pro_text,rating_name1,rating_name2,rating_name3,rating_name4,rating_name5,rating_scr1,rating_scr2,rating_scr3,rating_scr4,rating_scr5,review_date,review_title,reviewer_company_empl_status,reviewer_job_location,reviewer_job_title,top_list,work_life_rating
width: 100.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 0.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,,width: 0.0%;,8,14,width: 0.0%;,"Loved it - intense, but rewarding. Highly collaborative environment; might or might not be your cup of tea, depending on the type of engineer you are. Definitely moving away from the ""small startup"" feel though; it is making the transition, wholly, to a big company.",width: 0.0%;,,Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"June 16, 2014",Great Place, (Current Employee) –  ,"Menlo Park, CA",Production Engineer,Best Fortune 500 Companies,width: 0.0%;
width: 60.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 60.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,no benefits,width: 60.0%;,3,19,width: 60.0%;,Very fast paced and so much to learn! Very attentive hiring managers and humble staff. Facebook still functions like a start up.,width: 60.0%;,free lunches,Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"June 2, 2014",Fun and productive, (Current Employee) –  ,"Menlo Park, CA",Technical Recruiter,Best Fortune 500 Companies,width: 60.0%;
width: 100.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 100.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,,width: 100.0%;,3,14,width: 100.0%;,This experience changed my life.,width: 100.0%;,,Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"May 2, 2014",Productive and great company culture, (Former Employee) –  ,"Menlo Park, CA",User Operations Analyst,Best Fortune 500 Companies,width: 100.0%;
width: 40.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 40.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,Woworks not showing up for work on Mondays,width: 60.0%;,29,7,width: 20.0%;,No probems with the tear on hand .they all pulled together in safety .,width: 60.0%;,always had all my tools that i need for the job .,Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"March 31, 2014",Working to see the company grow ., (Former Employee) –  ,"Forest City, N.C.",Safety,Best Fortune 500 Companies,width: 60.0%;
width: 100.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 100.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,,width: 100.0%;,6,12,width: 100.0%;,I worked at Facebook as Security.. Each day was different and I learned something new. The environment was wonderful to be in & everyone was pleasent.,width: 100.0%;,Free breakfast and lunches,Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"July 24, 2017",Learning experience, (Former Employee) –  ,"New York, NY",Security Officer,Best Fortune 500 Companies,width: 100.0%;
width: 60.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 40.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,Bad salary,width: 60.0%;,4,7,width: 60.0%;,"I've experiences in RF Broadcasting stations TV and FM, I can adapt a worker team easily, learning faster and I've organizational skills",width: 60.0%;,Free launchers,Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"July 7, 2015",Communication Engineer with RF experiences, (Current Employee) –  ,Miami FL,Principal Specialist in RF broadcasting,Best Fortune 500 Companies,width: 60.0%;
width: 100.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 100.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,,width: 80.0%;,1,7,width: 100.0%;,Facebook is an awesome place to work but very easy to burn out. Lots of smart people and interesting technologies to work on. Awesome perks as well.,width: 100.0%;,,Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"July 6, 2015",Awesome place to work, (Former Employee) –  ,Menlo Park,Product Security Engineer Intern,Best Fortune 500 Companies,width: 20.0%;
width: 100.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 0.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,,width: 0.0%;,3,5,width: 0.0%;,"Loved coming to work everyday.  The additional benefits such as catered breakfast, lunch, and dinner was fantastic.  Plenty of places to get away and clear your head.",width: 0.0%;,,Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"June 23, 2015",Great place to work with great culture and even better people, (Former Employee) –  ,"Austin, TX",Community Operations Contractor,Best Fortune 500 Companies,width: 0.0%;
width: 80.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 60.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,Npot enough hours in the day to help everyone,width: 80.0%;,1,5,width: 60.0%;,"Great place to work,but a high turnover. The days are busy from the time you walk in the door until the time you leave, Clients are very demanding. The management team could be a bit more knowledgeable and up train the staff on products and processes instead of leaving it to each individual to take an effort to seek out the information. People should be trained equally to give the best possible customer experience. The best part of the day is when the customers are appreciative of the time you have spent with them and they have gained more knowledge to be successful.",width: 60.0%;,Learning about all kinds of busineses,Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"June 17, 2015",Great Place to Gain Experience, (Current Employee) –  ,"Phoenix, AZ",Client Partner - Ad Creative Specialist,Best Fortune 500 Companies,width: 80.0%;
width: 100.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 60.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,,width: 100.0%;,3,13,width: 40.0%;,"Facebook is a great place to work, although most people aren't aware that many positions are filled by contractors and not full-time employees. The good: endless food/snacks/drinks, casual and open office, ping-pong, young and tech-savvy environment. The not-so-good: benefits + compensation for contractors are much lower than full-time.",width: 80.0%;,food forever,Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"May 19, 2015",Everything you would expect, (Current Employee) –  ,"Austin, TX",Community Operations Contractor,Best Fortune 500 Companies,width: 100.0%;
width: 60.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 40.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,lazy employers,width: 80.0%;,6,2,width: 60.0%;,When i worked for AmeriCorps i had my own little space where i worked mostly alone doing all of the computer work. ,width: 60.0%;,"Learning experience, Outdoors, Great computer programs",Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"May 12, 2015",Day at the job, (Former Employee) –  ,"Pawhuska, OK",Full-Time AmeriCorps Public Relations Coordinator,Best Fortune 500 Companies,width: 80.0%;
width: 80.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 100.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,work/life balance is hard,width: 80.0%;,1,12,width: 80.0%;,"Working at Facebook was a great opportunity. There are many perks such as free just about anything however, along with everything being accessible it is frowned upon to leave if you have not worked a 10-hour day.",width: 60.0%;,"free lunches, free alcohol, free everything",Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"April 22, 2015",fun place to work and motivated like-minded individuals, (Former Employee) –  ,"Menlo Park, CA",News Feed Quality Analyst (Contract),Best Fortune 500 Companies,width: 60.0%;
width: 80.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 0.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,,width: 0.0%;,,,width: 0.0%;,Good pay and benefits.,width: 0.0%;,,Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"April 20, 2015",Good Company, (Current Employee) –  ,CA,Data Scientist - Analytics,Best Fortune 500 Companies,width: 0.0%;
width: 60.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 80.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,lack of management protocols; deploying technology out before it had been thoroughly tested.,width: 80.0%;,2,16,width: 60.0%;,"A typical day at work consisted of arriving at work, following up on tasks (solving problems and documenting them) and receiving new tasks, to be prioritized and executed.",width: 20.0%;,"good pay, nice equipment, great culture.",Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"April 14, 2015","Great culture and salary, but not very well organized.", (Former Employee) –  ,"Chico, CA",Service Desk Technician,Best Fortune 500 Companies,width: 60.0%;
width: 100.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 100.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,,width: 100.0%;,6,12,width: 100.0%;,I worked at Facebook as Security.. Each day was different and I learned something new. The environment was wonderful to be in & everyone was pleasent.,width: 100.0%;,Free breakfast and lunches,Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"July 24, 2017",Learning experience, (Former Employee) –  ,"New York, NY",Security Officer,Best Fortune 500 Companies,width: 100.0%;
width: 40.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 40.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,everything else,width: 40.0%;,3,4,width: 20.0%;,"Besides the food, and the fact that you can pretty much wear whatever you want working at facebook is just a glorified boring office job. Pressing the enter button all day and constantly worrying about numbers.",width: 20.0%;,free food,Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"March 7, 2016",Its just Facebook, (Former Employee) –  ,"Austin, TX",Ads Integrity Analyst,Best Fortune 500 Companies,width: 80.0%;
width: 60.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 20.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,,width: 60.0%;,1,5,width: 40.0%;,"Was able to learn from a wide array of Chefs from different backgrounds and expand upon my culinary career in a large institutional kitchen setting.   Opportunities to create eight item menus based upon a theme or region and execute your personal menu for a large group of patrons.  It also forced you to be quick on your feet and adapt to changing environment.  For example, if you had a popular dish and it was running low, you had to be prepared to come up with a substitute dish on the fly.  Also very informative to learn how large scale kitchen production works.",width: 60.0%;,,Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"March 4, 2016","menu items for 3,000 Facebook employees in fast-paced environment", (Former Employee) –  ,"Menlo Park, CA",Flagship Contractor,Best Fortune 500 Companies,width: 80.0%;
width: 100.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 100.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,repetitive,width: 100.0%;,,4,width: 80.0%;,The culture and teams are world class. I've worked with some of the best on awesome projects that I'll treasure for life.,width: 80.0%;,Team,Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"February 23, 2016",Great Company, (Former Employee) –  ,"Menlo Park, CA",Product Specialist,Best Fortune 500 Companies,width: 80.0%;
width: 60.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 100.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,,width: 60.0%;,4,8,width: 20.0%;,Yep it was a job. While the job security could have been better and the management could have as well. It paid well and I liked the work,width: 20.0%;,,Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"February 8, 2016",it is what it is, (Former Employee) –  ,"Austin, TX",Customer Service Representative,Best Fortune 500 Companies,width: 80.0%;
width: 80.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 80.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,,width: 100.0%;,,4,width: 60.0%;,great company to work for if you find the right group/leader.  the company has gotten so big that the culture is struggling to maintain itself.,width: 60.0%;,,Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"February 8, 2016",great people, (Current Employee) –  ,"Menlo Park, CA",Executive Assistant/Business Lead,Best Fortune 500 Companies,width: 60.0%;
width: 40.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 40.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,Small town people = small town mentality,width: 40.0%;,4,13,width: 20.0%;,"Lots of back stabbimg, a lot like being paid to be in highschool. Management didn't seem to know answers to questions they should have. Other employees seemed very incompetent while others seemed held back in their current position. Facebook is a young company and it shows. Google or apple would be a much better place to start out in the tech world.",width: 20.0%;,,Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"January 26, 2016",Glad I left, (Current Employee) –  ,"Prineville, OR",Facilities Engineer,Best Fortune 500 Companies,width: 40.0%;
width: 80.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 80.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,,width: 80.0%;,,,width: 80.0%;,*fast-pace and productive,width: 80.0%;,,Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"January 18, 2016",Productive and fun, (Former Employee) –  ,"Ashburn, VA",Data Technician,Best Fortune 500 Companies,width: 80.0%;
width: 100.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 100.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,,width: 100.0%;,1,4,width: 80.0%;,The company number one priority was to ensure all employee's needs were taken care of. They went above and beyond any expectation of a employer. Employees were also enthusiastic about their chance to work at an excellent company.,width: 80.0%;,,Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"January 12, 2016",Employee's appreciation, (Former Employee) –  ,"Menlo Park, CA",Assistant Campus Manager,Best Fortune 500 Companies,width: 100.0%;
width: 60.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 40.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,"Too far from civilization, culinary staff not eligible for Facebook perks, higher pay than usual restaurant work, but still can barely pay the bills",width: 60.0%;,6,8,width: 60.0%;,"Love the staff at Flagship/Facebook, but not the management.  They treat lower staff like idiots, the food is bad in taste and appearance, talent doesn't count for much but following blindly does.",width: 60.0%;,"Free lunch and snacks, freedom because what you do doesn't matter (if you are into that thing)",Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"December 8, 2015",M-F hours with little room for respect and creativity, (Former Employee) –  ,"Menlo Park, CA",Line Cook,Best Fortune 500 Companies,width: 20.0%;
width: 100.0%;,Quick-paced,Relaxed,Balanced,Competitive,Stressful,53%,39%,32%,31%,29%,94%,104 ratings,width: 100.0%;,17,4.8K,1.5K,200,4.8K,,,"Menlo Park California, United States",https://www.indeed.com/cmp/Facebook,Internet and Software,Facebook,4.3,"10,000+",,,,width: 100.0%;,6,12,width: 100.0%;,I worked at Facebook as Security.. Each day was different and I learned something new. The environment was wonderful to be in & everyone was pleasent.,width: 100.0%;,Free breakfast and lunches,Culture ,Work/Life Balance ,Compensation/Benefits ,Management ,Job Security/Advancement ,4.3,4.1,4.0,3.8,3.7,"July 24, 2017",Learning experience, (Former Employee) –  ,"New York, NY",Security Officer,Best Fortune 500 Companies,width: 100.0%;
